Power_Plant_ID,Plant_Location,Operating_Capacity_MW,Fuel_Type,Emission_Level_CO2_tonnes,Operational_Years,Maintenance_Cost_MUSD,Temperature_C,Humidity_percent,Wind_Speed_kmh,Soil_Moisture_percent,Dam_Height_m,Reservoir_Capacity_MCM,Sedimentation_Rate_mpy,Efficiency_percent
7e7646fc-2f8d-4d4e-a66c-60561e835cc5,Smithshire,131.65674386916731,Coal,,12,18.560499371398613,34.538331429729524,29.0721191959869,46.83700373707279,28.273560394952508,294.23415595867453,3093.8138424018975,0.799798668943659,88.04178155746861
e884cc1e-db39-47ea-a26c-dec0eefbec1d,Floresfort,278.3287183629617,Gas,44487.57215783603,8,0.586317380335848,33.00454665631362,49.32136383620967,9.225236030144835,26.026837502029103,195.54741735921752,647.5969086982975,0.909519791253424,73.31265475505533
97f7df29-5566-4fd9-a1ab-7d308717423c,New Racheltown,654.1637039967266,Nuclear,,3,10.595559158526825,34.49619405439702,22.51846222812192,2.809572685075734,6.382256958178179,272.362563880333,1331.82592485109,0.248579037494366,91.21392135651766
edf49ea1-4532-419d-8d6e-1ce979abf53e,Lake Paigehaven,128.76699870489765,Gas,237138.99027404288,42,12.367960111464601,42.39811579906156,86.56902445743462,62.65342380763943,32.618777343446304,79.44072313947437,1002.6390080410855,0.49636299881534,68.77308268772298
1ba218b7-a2e9-4e91-a966-bf6b6141af68,Williammouth,864.2149515094341,Coal,30010.924423322856,36,19.086617424400245,40.14049376786739,35.84868901870062,95.37583989025158,32.22765385154432,62.913980241658955,242.3349213103305,0.367415605567453,60.018321712806625
da6cc94b-4b57-43e5-b7d2-e1a9d4b4b32a,North Tracystad,648.5880007622737,Gas,114313.6296667071,26,2.437776248135248,30.347339009580516,28.347309427379937,43.39551682102102,27.096059924075945,95.1528743728236,4246.371951378003,0.928382257571189,81.53549776338417
5e1069c9-dc26-4b5e-bb77-a9ced21da9bf,East Caitlinport,546.154577610082,Gas,41196.60013577426,58,5.461921554792726,27.534909091585735,63.59730002810628,74.28076841359331,39.69902588300174,282.8369654123454,1782.1845785296732,0.748113093165836,87.94475430974464
4908dfc8-6ea3-4284-abee-d989e50f17d7,Doylemouth,289.8272822209725,Nuclear,15719.78480180998,11,18.361131968453584,26.54716824054404,28.392913285004816,29.13548798146911,16.82072222416227,78.51277290690271,2275.682862584345,0.720968747050027,80.60535957668833
b70f39b2-11b6-4422-a367-e41cb3380fab,Lake Laurafurt,986.7614267124957,Gas,22890.524706260592,20,16.80584694796141,21.97149607802894,21.966102299523893,59.652725302862464,6.966045329966175,103.91010232191523,1702.1770181948166,0.887145188488161,65.90640905551763
7c9f3025-15b9-4275-ab3b-44f0a2ef898c,North Kimberly,237.77266090823835,Renewable,44460.477638230375,27,12.087611767382775,23.736986377475166,39.94078452286928,74.39360417093619,18.69635246345906,151.24922035150144,3820.858649601156,0.751177188082361,64.9953199129809
cbfe3d3f-c865-41a5-83d4-9415c5db36bc,Julieport,294.23738015899266,Coal,14722.356940580106,36,17.58616636081906,15.41953731723675,41.14563957330578,23.310221299198595,14.317273194529166,122.74822095462976,3604.7213775808546,0.118052298434555,79.19637046118478
efe0546e-1e7e-436a-925d-bc38139914e4,Brendabury,671.9838392694863,Coal,23046.087387715525,8,5.817251686126351,16.251051209726022,83.17341237168998,92.41086467731348,16.48305706402421,71.22648673745141,4646.75676775332,0.28523887586514,65.4748001814871
